ID_IPEDS,stabbr,highest_degree,degree_bach,public,enroll_ftug,grant_federal,year
112075,CA,7,1,0,308,587449.0,2010
112084,CA,6,1,0,72,109080.0,2010
112172,CA,4,1,1,881,1967652.0,2010
112190,CA,4,1,1,1644,3390173.0,2010
112260,CA,7,1,0,314,217458.0,2010
112288,CA,1,1,0,417,1276712.0,2010
112367,CA,2,1,1,432,820907.0,2010
112385,CA,3,1,1,151,370061.0,2010
112394,CA,7,1,0,35,83250.0,2010
112446,CA,7,1,0,102,153394.0,2010
112455,CA,2,1,0,49,171166.0,2010
112561,CA,3,1,1,259,445050.0,2010
112570,CA,5,1,0,46,56000.0,2010
112686,CA,4,1,1,398,1004869.0,2010
112826,CA,3,1,1,377,858973.0,2010
113096,CA,4,1,1,820,1790113.0,2010
113111,CA,4,1,1,496,822553.0,2010
113193,CA,4,1,1,1199,1062021.0,2010
113218,CA,3,1,1,669,1283187.0,2010
113236,CA,4,1,1,1121,2066194.0,2010
113333,CA,4,1,1,2507,3035546.0,2010
113449,CA,2,1,0,235,926470.0,2010
113573,CA,3,1,1,838,1779935.0,2010
113582,CA,5,1,0,8,25200.0,2010
113634,CA,4,1,1,1290,936040.0,2010
113698,CA,7,1,0,338,716397.0,2010
113856,CA,4,1,1,1583,4335682.0,2010
113980,CA,4,1,1,1885,2998509.0,2010
114044,CA,1,1,0,71,224450.0,2010
114123,CA,3,1,0,676,233485.0,2010
114266,CA,3,1,1,608,1437549.0,2010
114354,CA,5,1,0,825,1722713.0,2010
114390,CA,5,1,0,204,525093.0,2010
114415,CA,3,1,0,199,519933.0,2010
114433,CA,3,1,1,202,492418.0,2010
114460,CA,2,1,0,126,353380.0,2010
114716,CA,4,1,1,1181,817069.0,2010
114761,CA,2,1,0,57,229680.0,2010
114789,CA,3,1,1,2104,6398286.0,2010
114813,CA,7,1,0,231,669332.0,2010
114859,CA,4,1,1,1771,3175389.0,2010
114938,CA,4,1,1,490,1007593.0,2010
114947,CA,1,1,0,102,106992.0,2010
115001,CA,3,1,1,1803,4554208.0,2010
115010,CA,2,1,0,367,1010909.0,2010
115126,CA,4,1,1,1290,2287568.0,2010
115296,CA,4,1,1,1715,2460834.0,2010
115357,CA,2,1,0,39,160525.0,2010
115393,CA,3,1,1,669,1647471.0,2010
115409,CA,5,1,0,195,158048.0,2010
115658,CA,2,1,0,58,280500.0,2010
115728,CA,8,1,0,112,344162.0,2010
115755,CA,7,1,1,1282,2867651.0,2010
115773,CA,9,1,0,76,320999.0,2010
115861,CA,3,1,1,991,3481531.0,2010
115931,CA,2,1,0,435,1347465.0,2010
116350,CA,2,1,0,210,441805.0,2010
116439,CA,3,1,1,1087,1008681.0,2010
116563,CA,4,1,0,73,236799.0,2010
116846,CA,7,1,0,25,28625.0,2010
117052,CA,3,1,1,1860,4135772.0,2010
117104,CA,7,1,0,42,97254.0,2010
117113,CA,5,1,0,278,964205.0,2010
117140,CA,9,1,0,536,1405222.0,2010
117168,CA,7,1,0,57,107793.0,2010
117195,CA,3,1,1,228,263536.0,2010
117238,CA,2,1,0,56,254889.0,2010
117247,CA,3,1,1,330,749537.0,2010
117274,CA,3,1,1,193,462660.0,2010
117557,CA,9,1,0,24,55000.0,2010
117627,CA,9,1,0,330,854953.0,2010
117645,CA,4,1,1,1897,4319693.0,2010
117690,CA,4,1,1,658,1580560.0,2010
117706,CA,3,1,1,1182,2931212.0,2010
117715,CA,3,1,1,260,896981.0,2010
117724,CA,3,1,1,665,1694839.0,2010
117733,CA,4,1,1,996,2774743.0,2010
117751,CA,9,1,0,211,308416.0,2010
117788,CA,4,1,1,700,1692103.0,2010
117867,CA,4,1,1,677,1688053.0,2010
117894,CA,3,1,1,602,923797.0,2010
117928,CA,7,1,0,207,680739.0,2010
117946,CA,9,1,0,1378,1430617.0,2010
117955,CA,2,1,0,92,265233.0,2010
118134,CA,2,1,0,39,160471.0,2010
118143,CA,2,1,0,19,67887.0,2010
118161,CA,2,1,0,34,61408.0,2010
118189,CA,2,1,0,207,1148850.0,2010
118198,CA,3,1,0,376,1557022.0,2010
118259,CA,4,1,0,345,1236910.0,2010
118277,CA,4,1,0,458,1306357.0,2010
118286,CA,4,1,0,863,2784647.0,2010
118347,CA,3,1,1,306,497046.0,2010
118541,CA,5,1,0,384,804493.0,2010
118684,CA,4,1,1,179,548340.0,2010
118693,CA,5,1,0,153,274790.0,2010
118718,CA,4,1,1,1265,4142631.0,2010
118772,CA,4,1,1,211,523527.0,2010
118888,CA,9,1,0,205,490666.0,2010
118912,CA,4,1,1,1345,1180068.0,2010
118930,CA,4,1,1,444,821387.0,2010
118958,CA,2,1,0,52,276298.0,2010
118967,CA,4,1,0,633,1745156.0,2010
118976,CA,3,1,1,1398,3332499.0,2010
118994,CA,2,1,0,36,155999.0,2010
119067,CA,4,1,1,546,885947.0,2010
119137,CA,4,1,1,1710,1324752.0,2010
119164,CA,4,1,1,2683,5610987.0,2010
119173,CA,9,1,0,525,1824663.0,2010
119216,CA,3,1,1,865,1896063.0,2010
119270,CA,5,1,0,823,845658.0,2010
119331,CA,3,1,1,503,904361.0,2010
119553,CA,2,1,0,212,866818.0,2010
119605,CA,7,1,0,940,670497.0,2010
119775,CA,7,1,0,20,87130.0,2010
119845,CA,2,1,0,73,186906.0,2010
119951,CA,2,1,0,221,729906.0,2010
120069,CA,2,1,0,332,1142849.0,2010
120078,CA,2,1,0,598,2207777.0,2010
120087,CA,2,1,0,185,569011.0,2010
120184,CA,7,1,0,145,330171.0,2010
120254,CA,7,1,0,573,974788.0,2010
120272,CA,2,1,0,40,181741.0,2010
120290,CA,3,1,1,727,1010855.0,2010
120342,CA,4,1,1,2181,3017767.0,2010
120403,CA,7,1,0,167,371043.0,2010
120421,CA,4,1,1,469,1297046.0,2010
120537,CA,7,1,0,83,217181.0,2010
120661,CA,4,1,0,773,2289162.0,2010
120865,CA,7,1,0,353,770795.0,2010
120883,CA,9,1,0,1009,2296811.0,2010
120953,CA,3,1,1,82,250329.0,2010
120971,CA,3,1,1,2151,2461840.0,2010
121044,CA,4,1,1,2042,4888221.0,2010
121150,CA,9,1,0,627,1162076.0,2010
121257,CA,5,1,0,274,266055.0,2010
121275,CA,5,1,0,69,193557.0,2010
121309,CA,8,1,0,589,1004390.0,2010
121345,CA,5,1,0,401,339730.0,2010
121363,CA,3,1,1,418,1555994.0,2010
121433,CA,2,1,0,127,580149.0,2010
121619,CA,3,1,1,1265,2475703.0,2010
121637,CA,2,1,0,50,157760.0,2010
121691,CA,9,1,0,646,1259485.0,2010
121707,CA,4,1,1,455,1430177.0,2010
121859,CA,2,1,0,123,426749.0,2010
121868,CA,2,1,0,87,306867.0,2010
121886,CA,3,1,1,1484,2833179.0,2010
121901,CA,4,1,1,1018,2146086.0,2010
121992,CA,2,1,0,165,391208.0,2010
122180,CA,4,1,1,1055,2493309.0,2010
122205,CA,4,1,1,1728,1187864.0,2010
122339,CA,4,1,1,907,3003641.0,2010
122366,CA,3,1,0,59,110188.0,2010
122375,CA,4,1,1,1404,2467165.0,2010
122384,CA,4,1,1,524,896647.0,2010
122409,CA,9,1,1,3031,4998462.0,2010
122436,CA,9,1,0,1149,924568.0,2010
122454,CA,7,1,0,73,139171.0,2010
122506,CA,8,1,0,41,62327.0,2010
122597,CA,9,1,1,3609,7480813.0,2010
122612,CA,9,1,0,1172,1950286.0,2010
122658,CA,4,1,1,1551,4066064.0,2010
122685,CA,3,1,0,312,1412232.0,2010
122728,CA,6,1,0,116,244962.0,2010
122746,CA,3,1,1,551,924877.0,2010
122755,CA,7,1,1,2697,5585025.0,2010
122791,CA,3,1,1,692,971610.0,2010
122834,CA,5,1,0,332,1554595.0,2010
122852,CA,5,1,0,83,365560.0,2010
122889,CA,3,1,1,1720,1868989.0,2010
122931,CA,9,1,0,1296,1120461.0,2010
122977,CA,3,1,1,3121,4807226.0,2010
123013,CA,4,1,1,1592,2008292.0,2010
123165,CA,6,1,0,262,236478.0,2010
123217,CA,3,1,1,1465,4120028.0,2010
123280,CA,7,1,0,10,24352.0,2010
123299,CA,3,1,1,830,1927313.0,2010
123341,CA,3,1,1,1899,2709135.0,2010
123350,CA,2,1,0,76,312772.0,2010
123396,CA,4,1,0,28,102450.0,2010
123457,CA,7,1,0,158,371864.0,2010
123484,CA,3,1,1,264,748610.0,2010
123493,CA,4,1,1,1593,3062499.0,2010
123509,CA,3,1,1,412,832298.0,2010
123527,CA,4,1,1,842,2238951.0,2010
123554,CA,9,1,0,695,1242095.0,2010
123563,CA,4,1,1,854,1147856.0,2010
123572,CA,7,1,1,1547,2373380.0,2010
123642,CA,4,1,0,39,128633.0,2010
123651,CA,7,1,0,334,733664.0,2010
123679,CA,3,1,0,828,2256355.0,2010
123800,CA,3,1,1,1441,3161858.0,2010
123952,CA,8,1,0,20,11200.0,2010
